sub	 task	 sess	 trl	 item	 acc	     rts
107	    1	    3	  25	    5	   1	  463.00
107	    1	    3	  26	   11	   1	  440.09
107	    1	    3	  27	    5	   1	  662.47
107	    1	    3	  28	    9	   1	  383.75
107	    1	    3	  29	    9	   1	  385.78
107	    1	    3	  30	    3	   1	  437.61
107	    1	    3	  31	    9	   1	  465.14
107	    1	    3	  32	   11	   1	  460.47
107	    1	    3	  33	    1	   1	  565.48
107	    1	    3	  34	    3	   1	  471.52
107	    1	    3	  35	    1	   1	  442.12
107	    1	    3	  36	    1	   1	  383.85
107	    1	    3	  37	    7	   1	  818.49
107	    1	    3	  39	    1	   1	  676.47
107	    1	    3	  41	    9	   1	  437.76
107	    1	    3	  42	    7	   1	  467.95
107	    1	    3	  43	   11	   1	  442.54
107	    1	    3	  44	    3	   1	  633.82
107	    1	    3	  45	    7	   1	  854.78
107	    1	    3	  46	    9	   1	  428.47
107	    1	    3	  47	   11	   1	  442.99
107	    1	    3	  48	   11	   1	  383.72
107	    1	    3	  49	    3	   1	  928.54
107	    1	    3	  50	    7	   1	  566.30
107	    1	    3	  51	    7	   1	  434.82
107	    1	    3	  52	    5	   1	  565.42
107	    1	    3	  53	    3	   1	  516.52
107	    1	    3	  54	    7	   0	 1921.00
107	    1	    3	  55	    9	   1	  407.34
107	    1	    3	  56	    9	   1	  304.63
107	    1	    3	  57	    3	   1	  406.26
107	    1	    3	  58	    7	   1	 1372.10
107	    1	    3	  59	    5	   1	  506.99
107	    1	    3	  60	   11	   1	  533.04
107	    1	    3	  61	    5	   1	  987.06
107	    1	    3	  62	    5	   1	  796.97
107	    1	    3	  63	   11	   1	  399.05
107	    1	    3	  64	    5	   1	  468.70
107	    1	    3	  65	    5	   1	  457.84
107	    1	    3	  66	    1	   1	  482.72
107	    1	    3	  67	    5	   1	  792.80
107	    1	    3	  68	    9	   1	  488.83
107	    1	    3	  69	    1	   1	  407.70
107	    1	    3	  70	    9	   1	  396.13
107	    1	    3	  71	    7	   1	 1376.10
107	    1	    3	  72	   11	   1	  430.36
107	    1	    3	  73	    3	   1	  432.32
107	    1	    3	  74	   11	   1	  407.16
107	    1	    3	  75	    5	   1	  428.43
107	    1	    3	  76	    9	   1	  459.61
107	    1	    3	  77	    1	   1	  480.64
107	    1	    3	  78	    7	   1	 1464.50
107	    1	    3	  79	   11	   1	  429.13
107	    1	    3	  80	   11	   1	  357.55
107	    1	    3	  81	    1	   1	  447.83
107	    1	    3	  82	    3	   1	  402.37
107	    1	    3	  83	    5	   1	  621.94
107	    1	    3	  84	    3	   1	  449.02
107	    1	    3	  85	    1	   1	  442.06
107	    1	    3	  86	    7	   1	  935.71
107	    1	    3	  87	    7	   1	  568.76
107	    1	    3	  88	    3	   1	  410.17
107	    1	    3	  89	   11	   1	  410.75
107	    1	    3	  91	    7	   1	  924.91
107	    1	    3	  92	    7	   1	  787.67
107	    1	    3	  93	   11	   1	  557.90
107	    1	    3	  94	   11	   1	  610.27
107	    1	    3	  96	    7	   1	 1408.80
107	    1	    3	  97	    7	   1	 1010.60
107	    1	    3	  98	    7	   1	  659.25
107	    1	    3	  99	    5	   1	  626.23
107	    1	    3	 100	    5	   0	 1949.50
107	    1	    3	 101	    7	   1	  882.03
107	    1	    3	 103	    3	   1	  579.78
107	    1	    3	 104	    9	   1	  860.69
107	    1	    3	 105	    9	   1	  468.68
107	    1	    3	 106	    1	   1	  425.24
107	    1	    3	 107	    3	   1	  374.89
107	    1	    3	 108	    1	   1	  368.83
107	    1	    3	 109	    9	   1	  514.00
107	    1	    3	 110	    3	   1	  440.20
107	    1	    3	 111	    9	   1	  550.64
107	    1	    3	 112	    7	   1	  910.25
107	    1	    3	 113	    5	   1	  726.67
107	    1	    3	 114	    5	   1	  404.78
107	    1	    3	 115	    5	   1	  369.69
107	    1	    3	 116	    9	   1	  476.77
107	    1	    3	 117	    3	   1	  400.65
107	    1	    3	 118	    5	   1	  496.95
107	    1	    3	 119	    1	   1	  425.95
107	    1	    3	 120	   11	   1	  433.46
107	    1	    4	   1	   11	   1	  486.50
107	    1	    4	   2	    9	   1	  942.51
107	    1	    4	   4	    1	   1	  523.57
107	    1	    4	   5	    3	   1	  695.82
107	    1	    4	   6	    3	   1	  501.92
107	    1	    4	   7	    3	   1	  505.68
107	    1	    4	   8	    7	   1	 1458.10
107	    1	    4	   9	   11	   1	  581.50
107	    1	    4	  10	    1	   1	  550.06
107	    1	    4	  11	    7	   1	  944.95
107	    1	    4	  12	    3	   1	  519.62
107	    1	    4	  13	    7	   1	 1265.90
107	    1	    4	  14	    9	   1	  501.99
107	    1	    4	  15	   11	   1	  497.15
107	    1	    4	  16	    3	   1	  562.83
107	    1	    4	  17	    7	   1	 1008.20
107	    1	    4	  18	    7	   1	 1192.30
107	    1	    4	  19	    5	   1	  668.07
107	    1	    4	  20	   11	   1	  513.57
107	    1	    4	  21	    5	   1	  651.70
107	    1	    4	  22	    3	   1	  494.62
107	    1	    4	  23	    5	   1	  444.06
107	    1	    4	  24	    5	   1	  465.13
107	    1	    4	  25	   11	   1	  739.42
107	    1	    4	  26	    7	   1	 2098.90
107	    1	    4	  27	    3	   1	  548.04
107	    1	    4	  28	    1	   1	  490.04
107	    1	    4	  29	    1	   1	  424.94
107	    1	    4	  30	    3	   1	  637.88
107	    1	    4	  31	    3	   1	  388.69
107	    1	    4	  32	    5	   1	  828.23
107	    1	    4	  33	    5	   1	  478.89
107	    1	    4	  34	    1	   1	  496.56
107	    1	    4	  35	    5	   1	  606.60
107	    1	    4	  36	    9	   1	  545.18
107	    1	    4	  37	    5	   1	  460.56
107	    1	    4	  38	   11	   1	  426.37
107	    1	    4	  39	   11	   1	  451.73
107	    1	    4	  40	    3	   1	  473.93
107	    1	    4	  41	   11	   1	  530.30
107	    1	    4	  42	    3	   1	  455.54
107	    1	    4	  43	    7	   1	  855.36
107	    1	    4	  44	    9	   1	  503.50
107	    1	    4	  45	    3	   1	  427.20
107	    1	    4	  46	    7	   1	  804.08
107	    1	    4	  47	    9	   1	  546.64
107	    1	    4	  48	    9	   1	  466.96
107	    1	    4	  49	    1	   1	  479.85
107	    1	    4	  50	    1	   1	  490.60
107	    1	    4	  51	    9	   1	  652.29
107	    1	    4	  52	    5	   1	  511.73
107	    1	    4	  53	    5	   1	  671.00
107	    1	    4	  54	    1	   1	  458.96
107	    1	    4	  55	    3	   1	  441.03
107	    1	    4	  56	   11	   1	  498.59
107	    1	    4	  57	    9	   1	  528.66
107	    1	    4	  58	   11	   1	  449.19
107	    1	    4	  59	    1	   1	  497.40
107	    1	    4	  60	    9	   1	  501.34
107	    1	    4	  61	    5	   1	  575.19
107	    1	    4	  62	   11	   1	  461.10
107	    1	    4	  63	    7	   1	  841.96
107	    1	    4	  64	    3	   1	  483.09
107	    1	    4	  65	    9	   1	  534.82
107	    1	    4	  66	    9	   1	  584.10
107	    1	    4	  67	    7	   1	  625.40
107	    1	    4	  68	    5	   1	  477.27
107	    1	    4	  69	    1	   1	  540.91
107	    1	    4	  70	    3	   1	  415.04
107	    1	    4	  71	    7	   1	 1136.70
107	    1	    4	  72	    5	   1	  639.45
107	    1	    4	  73	    9	   1	  491.26
107	    1	    4	  74	    1	   1	  507.36
107	    1	    4	  75	    7	   1	 1158.70
107	    1	    4	  76	    3	   1	  489.61
107	    1	    4	  77	    3	   1	  484.35
107	    1	    4	  78	    1	   1	  475.45
107	    1	    4	  79	    1	   1	  461.59
107	    1	    4	  80	    3	   1	  484.88
107	    1	    4	  81	    9	   1	  927.64
107	    1	    4	  82	    1	   1	  533.14
107	    1	    4	  83	    7	   1	  812.72
107	    1	    4	  84	    9	   1	  567.51
107	    1	    4	  85	   11	   1	  545.58
107	    1	    4	  86	    7	   1	 1674.50
107	    1	    4	  87	   11	   1	  484.24
107	    1	    4	  88	    7	   1	  745.65
107	    1	    4	  89	    7	   1	  487.95
107	    1	    4	  90	    1	   1	  480.58
107	    1	    4	  91	    9	   1	  547.87
107	    1	    4	  92	    9	   1	  575.61
107	    1	    4	  93	    5	   1	  831.95
107	    1	    4	  94	    1	   1	  466.62
107	    1	    4	  96	    5	   1	  633.94
107	    1	    4	  97	    5	   1	  651.77
107	    1	    4	  98	   11	   1	  526.81
107	    1	    4	  99	    7	   1	 1534.30
107	    1	    4	 100	   11	   1	  486.53
107	    1	    4	 101	    5	   1	  876.81
107	    1	    4	 102	    7	   1	  700.42
107	    1	    4	 103	    5	   1	  610.89
107	    1	    4	 104	   11	   1	  636.02
107	    1	    4	 106	    9	   1	  892.73
107	    1	    4	 107	   11	   1	  455.68
107	    1	    4	 108	   11	   1	  503.91
107	    1	    4	 109	    9	   1	  714.78
107	    1	    4	 110	    7	   1	 1214.90
107	    1	    4	 111	    5	   1	  615.29
107	    1	    4	 112	    1	   1	  517.68
107	    1	    4	 113	    9	   1	  716.42
107	    1	    4	 114	    3	   1	  560.11
107	    1	    4	 115	    3	   1	  513.83
107	    1	    4	 116	    9	   1	  624.90
107	    1	    4	 117	    1	   1	  577.28
107	    1	    4	 118	   11	   1	  544.31
107	    1	    4	 119	    5	   1	  694.85
107	    1	    4	 120	   11	   1	  672.22
107	    1	    5	   1	    5	   1	  478.36
107	    1	    5	   2	    7	   1	  745.79
107	    1	    5	   3	    5	   1	 1175.90
107	    1	    5	   4	    1	   1	  539.61
107	    1	    5	   5	    5	   1	  998.05
107	    1	    5	   6	    1	   1	  419.39
107	    1	    5	   7	    7	   1	  730.85
107	    1	    5	   8	    7	   1	  477.64
107	    1	    5	   9	    3	   1	  460.37
107	    1	    5	  10	    9	   1	  821.55
107	    1	    5	  11	    3	   1	  491.76
107	    1	    5	  12	    9	   1	  536.01
107	    1	    5	  13	   11	   1	  522.65
107	    1	    5	  14	    7	   0	  727.71
107	    1	    5	  15	    5	   1	  578.88
107	    1	    5	  16	   11	   1	  509.51
107	    1	    5	  17	   11	   1	  469.52
107	    1	    5	  18	    9	   1	  621.32
107	    1	    5	  19	    7	   1	 1514.90
107	    1	    5	  20	   11	   1	  421.38
107	    1	    5	  21	    1	   1	  455.09
107	    1	    5	  22	    9	   1	  430.88
107	    1	    5	  23	    1	   1	  441.66
107	    1	    5	  24	    3	   1	  615.40
107	    1	    5	  25	    9	   1	  554.60
107	    1	    5	  26	    3	   1	  443.95
107	    1	    5	  27	    1	   1	  464.98
107	    1	    5	  28	    7	   1	  628.53
107	    1	    5	  29	    1	   1	  420.11
107	    1	    5	  30	    3	   1	  596.05
107	    1	    5	  31	    5	   1	  567.57
107	    1	    5	  32	    5	   1	  427.75
107	    1	    5	  33	    9	   1	  593.85
107	    1	    5	  34	    9	   1	  476.58
107	    1	    5	  35	   11	   1	  598.65
107	    1	    5	  36	    1	   1	  445.39
107	    1	    5	  37	    5	   1	  787.96
107	    1	    5	  38	    7	   1	 1727.20
107	    1	    5	  39	    3	   1	  448.21
107	    1	    5	  40	   11	   1	  429.69
107	    1	    5	  41	    1	   1	  438.19
107	    1	    5	  42	    3	   1	  695.22
107	    1	    5	  43	    1	   1	  405.03
107	    1	    5	  44	   11	   1	  466.59
107	    1	    5	  45	    5	   1	  777.50
107	    1	    5	  46	    7	   1	  740.11
107	    1	    5	  47	    1	   1	  403.39
107	    1	    5	  48	    5	   1	  784.13
107	    1	    5	  49	    5	   1	  440.31
107	    1	    5	  50	    3	   1	  476.63
107	    1	    5	  51	    7	   1	  621.37
107	    1	    5	  52	    7	   1	  419.57
107	    1	    5	  53	    7	   1	  390.63
107	    1	    5	  54	    1	   1	  432.88
107	    1	    5	  55	    9	   1	  541.27
107	    1	    5	  56	    5	   1	  844.55
107	    1	    5	  57	    7	   1	  596.44
107	    1	    5	  58	    1	   1	  460.25
107	    1	    5	  59	    5	   1	  673.60
107	    1	    5	  60	   11	   1	  393.61
107	    1	    5	  61	    3	   1	  426.52
107	    1	    5	  62	    7	   1	  658.22
107	    1	    5	  63	   11	   1	  447.45
107	    1	    5	  64	    7	   1	 1170.00
107	    1	    5	  65	    3	   1	  519.42
107	    1	    5	  66	    9	   1	  445.87
107	    1	    5	  67	   11	   1	  428.24
107	    1	    5	  68	    5	   1	  486.26
107	    1	    5	  69	   11	   1	  441.85
107	    1	    5	  70	    5	   1	  483.39
107	    1	    5	  71	    1	   1	  521.87
107	    1	    5	  72	    1	   1	  408.34
107	    1	    5	  73	    7	   1	  732.80
107	    1	    5	  74	    9	   1	  460.03
107	    1	    5	  75	    7	   0	  587.33
107	    1	    5	  76	    5	   1	  853.06
107	    1	    5	  77	    3	   1	  484.78
107	    1	    5	  78	    3	   1	  463.10
107	    1	    5	  79	    9	   1	  480.60
107	    1	    5	  80	    5	   1	 1317.70
107	    1	    5	  81	    1	   1	  497.50
107	    1	    5	  82	    1	   1	  425.57
107	    1	    5	  83	    3	   1	  750.92
107	    1	    5	  84	    5	   0	 1326.70
107	    1	    5	  85	    5	   1	  740.08
107	    1	    5	  86	    9	   1	  508.54
107	    1	    5	  87	    9	   1	  520.70
107	    1	    5	  88	   11	   1	  458.35
107	    1	    5	  89	    5	   1	  682.86
107	    1	    5	  90	    3	   1	  528.14
