sub	 task	 sess	 trl	 item	 acc	     rts
106	    1	    3	  13	    5	   1	  480.18
106	    1	    3	  14	    9	   1	  547.15
106	    1	    3	  16	    3	   1	  393.98
106	    1	    3	  17	    5	   1	  360.70
106	    1	    3	  18	    9	   1	  390.88
106	    1	    3	  19	    5	   1	  699.36
106	    1	    3	  20	    3	   1	  428.57
106	    1	    3	  21	    1	   1	  386.03
106	    1	    3	  22	    7	   0	  537.00
106	    1	    3	  23	    9	   1	  392.62
106	    1	    3	  24	    9	   1	  388.51
106	    1	    3	  25	   11	   1	  380.56
106	    1	    3	  26	    3	   1	  379.47
106	    1	    3	  27	    7	   0	  588.70
106	    1	    3	  28	    9	   1	  394.35
106	    1	    3	  29	    7	   0	 1089.20
106	    1	    3	  30	    5	   1	  764.65
106	    1	    3	  31	    7	   1	 1329.30
106	    1	    3	  33	    7	   1	 1075.80
106	    1	    3	  34	    1	   1	  416.95
106	    1	    3	  35	    1	   1	  345.71
106	    1	    3	  36	    5	   1	  612.60
106	    1	    3	  37	    3	   1	  491.28
106	    1	    3	  38	   11	   1	  410.97
106	    1	    3	  39	    9	   1	  431.53
106	    1	    3	  40	   11	   1	  399.44
106	    1	    3	  41	    1	   1	  395.32
106	    1	    3	  42	    7	   1	  917.81
106	    1	    3	  43	    3	   1	  457.46
106	    1	    3	  44	    1	   1	  336.76
106	    1	    3	  45	    7	   1	  376.38
106	    1	    3	  46	    5	   0	  488.14
106	    1	    3	  47	    7	   1	 1195.20
106	    1	    3	  49	    9	   1	  479.63
106	    1	    3	  50	    5	   1	  501.87
106	    1	    3	  51	    1	   1	  345.68
106	    1	    3	  52	    5	   1	  658.56
106	    1	    3	  53	    3	   1	  494.22
106	    1	    3	  54	    1	   1	  363.03
106	    1	    3	  55	    1	   1	  455.15
106	    1	    3	  56	    9	   1	  384.05
106	    1	    3	  57	    1	   1	  357.51
106	    1	    3	  58	    5	   1	  596.39
106	    1	    3	  59	    7	   1	  362.71
106	    1	    3	  60	   11	   1	  454.13
106	    1	    3	  61	   11	   1	  349.82
106	    1	    3	  62	    7	   1	  548.06
106	    1	    3	  63	    9	   1	  368.73
