sub	 task	 sess	 trl	 item	 acc	     rts
104	    1	    2	   1	    7	   1	  363.28
104	    1	    2	   2	    1	   1	  316.37
104	    1	    2	   3	    7	   1	  310.80
104	    1	    2	   4	   11	   1	  375.88
104	    1	    2	   5	    5	   0	  399.76
104	    1	    2	   7	    7	   1	  420.39
104	    1	    2	   8	    9	   1	  447.05
104	    1	    2	   9	    7	   1	  329.92
104	    1	    2	  10	   11	   1	  364.24
104	    1	    2	  11	    9	   1	  298.62
104	    1	    2	  12	   11	   1	  269.69
104	    1	    2	  13	    3	   1	  433.38
104	    1	    2	  14	   11	   1	  405.06
104	    1	    2	  15	    7	   0	 1250.70
104	    1	    2	  16	    1	   1	  362.85
104	    1	    2	  17	    3	   1	  330.00
104	    1	    2	  18	    3	   1	  363.07
104	    1	    2	  19	    3	   1	  260.56
104	    1	    2	  20	   11	   1	  332.15
104	    1	    2	  21	    9	   1	  277.45
104	    1	    2	  22	   11	   1	  324.50
104	    1	    2	  23	    5	   1	  544.90
104	    1	    2	  24	   11	   1	  369.14
104	    1	    2	  25	    1	   1	  357.31
104	    1	    2	  26	   11	   1	  325.21
104	    1	    2	  27	    1	   1	  350.46
104	    1	    2	  29	    7	   1	 1269.20
104	    1	    2	  30	    9	   1	  346.92
104	    1	    2	  31	    5	   0	  338.51
104	    1	    2	  33	    1	   1	  316.78
104	    1	    2	  34	    3	   1	  279.88
104	    1	    2	  35	    5	   0	  578.21
104	    1	    2	  36	    5	   1	  696.46
104	    1	    2	  37	    3	   1	  297.93
104	    1	    2	  38	    9	   1	  313.97
104	    1	    2	  39	    3	   1	  310.82
104	    1	    2	  40	    9	   1	  339.16
104	    1	    2	  41	    7	   1	  347.84
104	    1	    2	  42	    9	   1	  271.07
104	    1	    2	  43	    5	   1	  391.68
104	    1	    2	  44	    9	   1	  326.64
104	    1	    2	  45	   11	   1	  295.07
104	    1	    2	  46	    9	   1	  296.27
104	    1	    2	  47	   11	   1	  304.03
104	    1	    2	  48	    5	   1	  335.19
104	    1	    2	  49	    9	   1	  416.14
104	    1	    2	  50	   11	   1	  271.27
104	    1	    2	  51	    3	   1	  366.44
104	    1	    2	  52	   11	   1	  321.85
104	    1	    2	  53	    7	   0	  259.23
104	    1	    2	  54	    5	   1	  465.81
104	    1	    2	  55	    5	   1	  267.61
104	    1	    2	  56	    7	   0	  281.29
104	    1	    2	  57	    7	   0	  554.26
104	    1	    2	  58	    9	   1	  276.98
104	    1	    2	  59	    9	   1	  264.71
104	    1	    2	  60	    3	   1	  423.16
104	    1	    2	  61	    3	   1	  253.67
104	    1	    2	  62	    1	   1	  266.89
104	    1	    2	  63	   11	   1	  393.08
104	    1	    2	  64	    7	   1	  271.20
104	    1	    2	  65	    1	   1	  389.68
104	    1	    2	  66	    3	   1	  484.06
104	    1	    2	  67	    1	   1	  284.58
104	    1	    2	  68	    7	   1	  424.72
104	    1	    2	  69	    3	   0	  318.30
104	    1	    2	  70	    1	   1	  419.94
104	    1	    2	  71	    1	   1	  286.04
104	    1	    2	  72	    9	   1	  326.33
104	    1	    2	  73	    7	   1	  263.24
104	    1	    2	  74	    5	   1	  342.22
104	    1	    2	  75	    7	   1	  424.42
104	    1	    2	  76	    9	   1	  294.60
104	    1	    2	  77	    7	   1	  300.78
104	    1	    2	  78	    5	   0	  272.33
104	    1	    2	  79	    5	   1	  997.27
104	    1	    2	  81	    1	   1	  406.83
104	    1	    2	  82	    3	   1	  304.76
104	    1	    2	  83	    5	   0	  425.31
104	    1	    2	  84	    1	   1	  346.86
104	    1	    2	  85	    5	   1	  913.94
104	    1	    2	  87	    7	   1	  396.80
104	    1	    2	  88	   11	   1	  309.06
104	    1	    2	  89	   11	   1	  342.97
104	    1	    2	  90	    3	   1	  331.16
104	    1	    2	  91	   11	   1	  388.53
104	    1	    2	  92	   11	   1	  333.98
104	    1	    2	  93	    3	   1	  347.22
104	    1	    2	  94	    5	   0	  353.14
104	    1	    2	  95	    5	   1	  466.26
104	    1	    2	  96	    3	   1	  241.47
104	    1	    2	  97	    9	   1	  349.87
104	    1	    2	  98	    7	   1	  292.77
104	    1	    2	  99	    7	   1	  321.13
104	    1	    2	 100	    1	   1	  270.18
104	    1	    2	 101	    3	   1	  252.09
104	    1	    2	 102	    1	   1	  287.81
104	    1	    2	 103	    1	   1	  269.97
104	    1	    2	 104	    1	   1	  254.27
104	    1	    2	 105	    5	   0	  335.94
104	    1	    2	 106	   11	   1	  474.07
104	    1	    2	 107	    5	   1	  347.75
104	    1	    2	 108	    5	   1	  336.60
104	    1	    2	 109	    3	   1	  256.31
104	    1	    2	 110	    9	   1	  347.80
104	    1	    2	 111	    5	   1	  313.36
104	    1	    2	 112	    7	   0	  293.68
104	    1	    2	 113	    9	   1	  414.62
104	    1	    2	 114	    1	   1	  309.87
104	    1	    2	 115	    9	   1	  372.04
104	    1	    2	 116	   11	   1	  289.42
104	    1	    2	 117	    1	   1	  299.56
104	    1	    2	 118	   11	   1	  359.14
104	    1	    2	 119	    1	   1	  359.41
104	    1	    2	 120	    3	   1	  467.74
104	    1	    3	   1	    3	   1	  373.25
104	    1	    3	   2	    7	   1	  308.10
104	    1	    3	   3	   11	   1	  284.17
104	    1	    3	   4	    5	   1	  368.97
104	    1	    3	   5	   11	   1	  415.82
104	    1	    3	   6	   11	   1	  264.64
104	    1	    3	   7	    1	   1	  344.64
104	    1	    3	   9	    9	   1	  339.16
104	    1	    3	  10	   11	   1	  283.16
104	    1	    3	  11	    5	   1	  769.18
104	    1	    3	  12	   11	   1	  294.97
104	    1	    3	  13	   11	   1	  244.69
104	    1	    3	  14	    7	   0	  613.20
104	    1	    3	  15	    5	   1	  387.46
104	    1	    3	  16	    7	   0	  570.03
104	    1	    3	  17	   11	   1	  323.82
104	    1	    3	  18	    1	   1	  453.42
104	    1	    3	  19	    3	   1	  374.10
104	    1	    3	  21	    5	   0	  523.33
104	    1	    3	  22	    3	   1	  426.94
104	    1	    3	  23	    1	   1	  302.41
104	    1	    3	  24	   11	   1	  370.39
104	    1	    3	  25	    1	   1	  350.62
104	    1	    3	  26	    7	   1	  604.08
104	    1	    3	  27	    5	   0	  456.08
104	    1	    3	  28	    3	   1	  305.63
104	    1	    3	  29	    3	   1	  295.30
104	    1	    3	  30	    7	   1	  408.50
104	    1	    3	  31	    7	   1	  341.59
104	    1	    3	  32	    7	   1	  293.31
104	    1	    3	  33	    3	   1	  308.55
104	    1	    3	  34	    7	   1	  424.31
104	    1	    3	  35	    7	   1	  281.83
104	    1	    3	  36	    7	   1	  251.77
104	    1	    3	  37	   11	   1	  613.60
104	    1	    3	  38	    9	   1	  283.36
104	    1	    3	  39	    5	   1	  372.78
104	    1	    3	  40	    5	   1	  377.29
104	    1	    3	  41	    1	   1	  361.31
104	    1	    3	  42	    5	   1	  612.52
104	    1	    3	  43	    1	   1	  355.22
