sub	 task	 sess	 trl	 item	 acc	     rts
102	    1	    2	   1	    9	   1	  421.49
102	    1	    2	   2	    1	   1	  384.82
102	    1	    2	   3	   11	   1	  503.83
102	    1	    2	   5	    3	   1	  528.43
102	    1	    2	   6	    9	   1	  392.54
102	    1	    2	   7	    7	   0	  719.84
102	    1	    2	   8	   11	   1	  430.19
102	    1	    2	   9	    3	   1	  561.57
102	    1	    2	  10	    1	   1	  487.20
102	    1	    2	  11	    1	   1	  391.26
102	    1	    2	  12	    9	   1	  410.85
102	    1	    2	  13	    3	   1	  458.81
102	    1	    2	  14	    1	   1	  475.99
102	    1	    2	  15	    3	   1	  400.35
102	    1	    2	  16	    3	   1	  450.65
102	    1	    2	  17	    3	   1	  662.29
102	    1	    2	  18	    1	   1	  344.55
102	    1	    2	  19	   11	   1	  351.19
102	    1	    2	  20	    7	   1	  466.78
102	    1	    2	  21	    7	   1	  405.49
102	    1	    2	  22	   11	   1	  428.38
102	    1	    2	  23	    7	   1	  499.73
102	    1	    2	  24	   11	   1	  403.53
102	    1	    2	  25	    7	   1	  444.69
102	    1	    2	  26	    5	   1	  523.82
102	    1	    2	  27	    7	   1	  659.51
102	    1	    2	  28	    9	   1	  439.39
102	    1	    2	  29	    5	   1	  763.61
102	    1	    2	  30	    5	   1	  434.03
102	    1	    2	  31	    7	   1	  939.04
102	    1	    2	  32	    5	   1	  617.53
102	    1	    2	  33	    1	   1	  495.80
102	    1	    2	  34	    3	   1	  410.95
102	    1	    2	  35	    9	   1	  431.96
102	    1	    2	  36	    5	   1	  767.31
102	    1	    2	  37	    3	   1	  442.34
102	    1	    2	  38	    7	   1	  958.83
102	    1	    2	  39	    3	   1	  556.54
102	    1	    2	  40	    5	   1	  790.32
102	    1	    2	  41	   11	   1	  341.42
102	    1	    2	  42	    9	   1	  343.91
102	    1	    2	  43	    5	   1	  722.67
102	    1	    2	  44	    9	   1	  447.03
102	    1	    2	  45	    9	   1	  507.18
102	    1	    2	  46	    3	   1	  397.98
102	    1	    2	  47	    5	   1	  494.17
102	    1	    2	  48	   11	   1	  361.83
102	    1	    2	  49	    3	   1	  296.29
102	    1	    2	  51	   11	   1	  458.21
102	    1	    2	  52	    1	   1	  470.74
102	    1	    2	  53	    1	   1	  447.84
102	    1	    2	  54	    5	   1	  814.45
102	    1	    2	  55	    7	   1	  441.48
102	    1	    2	  56	   11	   1	  520.96
102	    1	    2	  57	    3	   1	  392.62
102	    1	    2	  58	    3	   1	  433.81
102	    1	    2	  59	   11	   1	  453.04
102	    1	    2	  61	    7	   1	  758.02
102	    1	    2	  62	   11	   1	  539.23
102	    1	    2	  63	   11	   1	  331.74
102	    1	    2	  64	    3	   1	  514.95
102	    1	    2	  65	   11	   1	  487.35
102	    1	    2	  66	    7	   1	  736.92
102	    1	    2	  67	    7	   1	  889.03
102	    1	    2	  68	   11	   1	  578.76
102	    1	    2	  69	   11	   1	  363.07
102	    1	    2	  70	    1	   1	  378.27
102	    1	    2	  71	    5	   1	 1190.60
102	    1	    2	  72	    7	   1	  792.40
102	    1	    2	  73	    5	   1	  933.68
102	    1	    2	  74	    9	   1	  574.76
102	    1	    2	  75	    1	   1	  726.90
102	    1	    2	  77	    5	   1	  752.76
102	    1	    2	  78	   11	   1	  404.50
102	    1	    2	  79	    9	   1	  343.98
102	    1	    2	  80	   11	   1	  340.69
102	    1	    2	  81	    9	   1	  304.60
102	    1	    2	  82	    9	   1	  369.65
102	    1	    2	  83	    9	   1	  346.66
102	    1	    2	  84	    7	   1	 1408.70
102	    1	    2	  85	    5	   1	  539.11
102	    1	    2	  86	   11	   1	  448.97
102	    1	    2	  87	    1	   1	  407.48
102	    1	    2	  88	    1	   1	  360.76
102	    1	    2	  89	    5	   1	  617.57
102	    1	    2	  90	    9	   1	  396.88
102	    1	    2	  91	    9	   1	  487.92
102	    1	    2	  92	    7	   1	  848.45
102	    1	    2	  93	    7	   1	  388.37
102	    1	    2	  94	    1	   1	  408.81
102	    1	    2	  95	   11	   1	  415.40
102	    1	    2	  96	    9	   1	  479.59
102	    1	    2	  97	    7	   1	  912.77
102	    1	    2	  98	    1	   1	  421.29
102	    1	    2	  99	    7	   1	  589.70
102	    1	    2	 101	    7	   1	 1188.00
102	    1	    2	 102	    5	   1	  562.55
102	    1	    2	 103	    3	   1	  424.92
102	    1	    2	 104	    3	   1	  328.69
102	    1	    2	 105	    1	   1	  325.17
102	    1	    2	 106	    3	   1	  330.06
102	    1	    2	 107	    9	   1	  442.93
102	    1	    2	 108	    3	   1	  515.29
102	    1	    2	 109	    5	   1	  700.78
102	    1	    2	 110	    1	   1	  455.67
102	    1	    2	 111	    5	   1	 1217.10
102	    1	    2	 112	    3	   1	  355.58
102	    1	    2	 113	    7	   1	  555.46
102	    1	    2	 114	    1	   1	  394.96
102	    1	    2	 115	    5	   1	  845.99
102	    1	    2	 116	    9	   1	  482.42
102	    1	    2	 117	   11	   1	  503.20
102	    1	    2	 118	    1	   1	  666.11
102	    1	    2	 120	    1	   1	  361.61
102	    1	    3	   1	    9	   1	  389.17
102	    1	    3	   2	    1	   1	  449.87
102	    1	    3	   3	    9	   1	  408.32
102	    1	    3	   4	    7	   1	  523.59
102	    1	    3	   5	   11	   1	  468.62
102	    1	    3	   6	    7	   1	  446.69
102	    1	    3	   7	    5	   1	  459.64
102	    1	    3	   8	    1	   1	  458.06
102	    1	    3	   9	    7	   1	  562.84
102	    1	    3	  10	    5	   1	  451.21
102	    1	    3	  11	    7	   1	 1192.40
102	    1	    3	  12	   11	   1	  487.38
102	    1	    3	  13	    5	   1	  612.58
102	    1	    3	  14	    5	   1	  737.11
102	    1	    3	  15	    3	   1	  425.57
102	    1	    3	  16	    3	   1	  465.88
102	    1	    3	  17	    1	   1	  411.82
102	    1	    3	  18	    9	   1	  578.48
102	    1	    3	  19	    3	   1	  721.11
102	    1	    3	  20	   11	   1	  400.10
102	    1	    3	  21	   11	   1	  405.76
102	    1	    3	  22	    5	   1	  406.07
102	    1	    3	  23	   11	   1	  345.28
102	    1	    3	  24	    7	   0	  415.14
102	    1	    3	  25	    9	   1	  318.54
102	    1	    3	  26	    9	   1	  459.74
102	    1	    3	  27	    7	   1	  847.72
102	    1	    3	  28	    3	   1	  431.06
102	    1	    3	  29	    1	   1	  364.00
102	    1	    3	  30	    1	   1	  832.26
102	    1	    3	  31	    1	   1	  425.59
102	    1	    3	  32	   11	   1	  345.76
102	    1	    3	  33	    3	   1	  996.72
102	    1	    3	  34	    9	   1	  369.92
102	    1	    3	  35	    1	   1	  437.23
102	    1	    3	  36	    7	   1	  700.05
