sub	 task	 sess	 trl	 item	 acc	     rts
101	    1	    2	   1	    5	   1	  606.41
101	    1	    2	   2	    1	   1	  528.05
101	    1	    2	   3	    5	   1	  995.97
101	    1	    2	   4	    7	   0	 1555.50
101	    1	    2	   5	    3	   1	  589.32
101	    1	    2	   6	    1	   1	  575.16
101	    1	    2	   8	    7	   1	 2078.40
101	    1	    2	   9	    7	   1	  965.29
101	    1	    2	  10	    7	   1	  560.01
101	    1	    2	  11	    3	   1	  537.91
101	    1	    2	  13	    1	   1	  582.65
101	    1	    2	  14	    3	   1	  661.45
101	    1	    2	  15	   11	   1	  723.17
101	    1	    2	  16	    3	   1	  548.28
101	    1	    2	  17	    7	   1	 1643.80
101	    1	    2	  18	    5	   1	 1103.00
101	    1	    2	  20	   11	   1	  769.90
101	    1	    2	  21	    9	   1	  704.59
101	    1	    2	  22	    5	   1	 1020.20
101	    1	    2	  23	    1	   1	  704.06
101	    1	    2	  25	    1	   1	  634.48
101	    1	    2	  26	    1	   1	  608.03
101	    1	    2	  27	   11	   1	  616.22
101	    1	    2	  28	    3	   1	  682.72
101	    1	    2	  29	    9	   1	  560.66
101	    1	    2	  30	   11	   1	  550.62
101	    1	    2	  31	   11	   1	  692.63
101	    1	    2	  32	   11	   1	  428.35
101	    1	    2	  33	    1	   1	  588.00
101	    1	    2	  34	    3	   1	  577.17
101	    1	    2	  35	   11	   1	  599.97
101	    1	    2	  36	    5	   1	 1626.20
101	    1	    2	  37	    9	   1	  699.64
101	    1	    2	  39	    3	   1	  624.53
101	    1	    2	  40	    9	   1	  596.05
101	    1	    2	  41	    7	   1	 1346.20
101	    1	    2	  42	    3	   1	  615.03
101	    1	    2	  43	    1	   1	  684.72
101	    1	    2	  44	    1	   1	  531.29
101	    1	    2	  45	    1	   1	  557.77
101	    1	    2	  46	   11	   1	  583.18
101	    1	    2	  47	    3	   1	  896.52
101	    1	    2	  48	    3	   1	  477.85
101	    1	    2	  49	    1	   1	  468.77
101	    1	    2	  50	   11	   1	  557.63
101	    1	    2	  51	    9	   1	 1055.90
101	    1	    2	  52	    9	   1	  652.22
101	    1	    2	  53	   11	   1	  504.71
101	    1	    2	  54	    5	   1	  839.99
101	    1	    2	  55	    9	   1	  662.85
101	    1	    2	  56	    1	   1	  759.28
101	    1	    2	  57	    5	   1	 1234.00
101	    1	    2	  58	    5	   1	  574.32
101	    1	    2	  59	    3	   1	  671.35
101	    1	    2	  60	   11	   1	  524.98
101	    1	    2	  61	    9	   1	  430.02
101	    1	    2	  62	   11	   1	  436.43
101	    1	    2	  63	    9	   1	  539.49
101	    1	    2	  64	    9	   1	  435.74
101	    1	    2	  65	    9	   1	  451.32
101	    1	    2	  66	    7	   1	 1585.60
101	    1	    2	  67	    7	   1	  562.87
101	    1	    2	  68	    9	   1	  395.66
101	    1	    2	  69	   11	   1	  435.93
101	    1	    2	  70	    1	   1	  505.64
101	    1	    2	  71	    7	   1	 1513.70
101	    1	    2	  72	    3	   1	  587.90
101	    1	    2	  73	    7	   1	 2242.00
101	    1	    2	  74	    5	   1	  795.21
101	    1	    2	  75	    1	   1	  557.51
101	    1	    2	  76	    7	   1	 1014.10
101	    1	    2	  77	    7	   1	  606.88
101	    1	    2	  78	    5	   1	  754.82
101	    1	    2	  79	    1	   1	  535.82
101	    1	    2	  80	    1	   1	  562.86
101	    1	    2	  81	    7	   1	  654.63
101	    1	    2	  82	    9	   1	  634.31
101	    1	    2	  83	    3	   1	  627.92
101	    1	    2	  84	    5	   1	 1579.40
101	    1	    2	  85	    9	   1	  591.19
101	    1	    2	  86	    3	   1	  686.19
101	    1	    2	  87	    5	   1	 1520.20
101	    1	    2	  88	    9	   1	  611.18
101	    1	    2	  89	    9	   1	  577.31
